,act,nalu,arch,lossf,lr,epoch,batch,h1,h2,seed,exp,op,init,loss,cost,fpref,fposop,flr,fmaxstep,fbatch,fcell,farch,fact,floss,fh1,fh2,fseed,fsr,fmean,fstd,fig,fim,fiw,fsg,fsm,fsw,flwt,fwcext,fname
903,none,NALUi,nalu,rsme,0.01,200,64,2,1,104,ext,ADD,1.0-1.0,0.0005832698,"0.0005832698
",results/nalu,orgADD,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,104,False,1.0,1.0,-1.0,-1.0,0.0,0.5,0.5,0.5,False,True.ext.csv,results/nalu_orgADD_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_104_False_1.0-1.0_-1.0--1.0-0.0_0.5-0.5-0.5_False_True.ext.csv
904,none,NALUi,nalu,rsme,0.01,200,64,2,1,119,int,MUL,1.0-1.0,9.848737e-09,"9.848737e-09
",results/nalu,orgMUL,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,119,False,1.0,1.0,0.0,-1.0,-1.0,0.1,0.1,0.1,False,True.int.csv,results/nalu_orgMUL_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_119_False_1.0-1.0_0.0--1.0--1.0_0.1-0.1-0.1_False_True.int.csv
905,none,NALUi,nalu,rsme,0.01,200,64,2,1,103,ext,MUL,1.0-1.0,0.0001535914,"0.0001535914
",results/nalu,orgMUL,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,103,False,1.0,1.0,1.0,0.0,0.0,0.1,0.1,0.1,False,True.ext.csv,results/nalu_orgMUL_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_103_False_1.0-1.0_1.0-0.0-0.0_0.1-0.1-0.1_False_True.ext.csv
906,none,NALUi,nalu,rsme,0.01,200,64,2,1,100,ext,SUB,1.0-1.0,2.207739e-10,"2.207739e-10
",results/nalu,orgSUB,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,100,False,1.0,1.0,1.0,0.0,1.0,0.1,0.1,0.1,False,True.ext.csv,results/nalu_orgSUB_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_100_False_1.0-1.0_1.0-0.0-1.0_0.1-0.1-0.1_False_True.ext.csv
907,none,NALUi,nalu,rsme,0.01,200,64,2,1,115,ext,DIV,1.0-1.0,386.20078,"386.20078
",results/nalu,orgDIV,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,115,False,1.0,1.0,0.0,1.0,0.0,0.1,0.1,0.1,False,True.ext.csv,results/nalu_orgDIV_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_115_False_1.0-1.0_0.0-1.0-0.0_0.1-0.1-0.1_False_True.ext.csv
908,none,NALUi,nalu,rsme,0.01,200,64,2,1,103,int,SUB,1.0-1.0,1.5923851e-10,"1.5923851e-10
",results/nalu,orgSUB,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,103,False,1.0,1.0,-1.0,-1.0,0.0,0.1,0.1,0.1,False,True.int.csv,results/nalu_orgSUB_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_103_False_1.0-1.0_-1.0--1.0-0.0_0.1-0.1-0.1_False_True.int.csv
909,none,NALUi,nalu,rsme,0.01,200,64,2,1,113,int,MUL,1.0-1.0,1.0735288e-08,"1.0735288e-08
",results/nalu,orgMUL,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,113,False,1.0,1.0,0.0,0.0,1.0,0.1,0.1,0.1,False,True.int.csv,results/nalu_orgMUL_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_113_False_1.0-1.0_0.0-0.0-1.0_0.1-0.1-0.1_False_True.int.csv
910,none,NALUi,nalu,rsme,0.01,200,64,2,1,104,int,DIV,1.0-1.0,11086.081,"11086.081
",results/nalu,orgDIV,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,104,False,1.0,1.0,0.0,1.0,-1.0,0.5,0.5,0.5,False,True.int.csv,results/nalu_orgDIV_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_104_False_1.0-1.0_0.0-1.0--1.0_0.5-0.5-0.5_False_True.int.csv
911,none,NALUi,nalu,rsme,0.01,200,64,2,1,107,ext,ADD,1.0-1.0,1.9931983e-08,"1.9931983e-08
",results/nalu,orgADD,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,107,False,1.0,1.0,0.0,-1.0,0.0,0.1,0.1,0.1,False,True.ext.csv,results/nalu_orgADD_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_107_False_1.0-1.0_0.0--1.0-0.0_0.1-0.1-0.1_False_True.ext.csv
912,none,NALUi,nalu,rsme,0.01,200,64,2,1,111,ext,ADD,1.0-1.0,1.771962e-08,"1.771962e-08
",results/nalu,orgADD,0.01,100000,64,['NALUi'],['NALU'],['none'],['rsme'],2,1,111,False,1.0,1.0,-1.0,-1.0,-1.0,0.1,0.1,0.1,False,True.ext.csv,results/nalu_orgADD_0.01_100000_64_['NALUi']_['NALU']_['none']_['rsme']_2_1_111_False_1.0-1.0_-1.0--1.0--1.0_0.1-0.1-0.1_False_True.ext.csv
