       fig   fim   fiw  fsg  fsm  fsg   op          loss
4055   1.0   0.0  -1.0  0.1  0.1  0.1  ADD  1.774939e-08
1466   1.0   0.0  -1.0  0.1  0.1  0.1  ADD  1.777958e-08
278    0.0  -1.0  -1.0  0.5  0.5  0.5  ADD  1.780815e-08
3414  -1.0  -1.0   1.0  0.1  0.1  0.1  ADD  1.783674e-08
2557  -1.0   0.0  -1.0  0.1  0.1  0.1  ADD  1.788521e-08
2901  -1.0  -1.0  -1.0  0.1  0.1  0.1  ADD  1.795069e-08
2862   0.0  -1.0  -1.0  0.5  0.5  0.5  ADD  1.798763e-08
1396   0.0  -1.0   0.0  0.1  0.1  0.1  ADD  1.807304e-08
2683   0.0  -1.0   0.0  0.1  0.1  0.1  ADD  1.808946e-08
3185   1.0  -1.0   0.0  0.5  0.5  0.5  ADD  1.809764e-08
4126  -1.0  -1.0   1.0  0.1  0.1  0.1  ADD  1.813902e-08
505    1.0  -1.0  -1.0  0.1  0.1  0.1  ADD  1.822897e-08
128    1.0  -1.0   0.0  0.5  0.5  0.5  ADD  1.825655e-08
1233  -1.0  -1.0  -1.0  0.1  0.1  0.1  ADD  1.831746e-08
551    0.0  -1.0   1.0  0.5  0.5  0.5  ADD  1.842804e-08
3423   0.0  -1.0   0.0  0.1  0.1  0.1  ADD  1.847408e-08
4006  -1.0  -1.0   1.0  0.5  0.5  0.5  ADD  1.851536e-08
2344   1.0  -1.0   0.0  0.1  0.1  0.1  ADD  1.852255e-08
435   -1.0  -1.0   1.0  0.1  0.1  0.1  ADD  1.852833e-08
2276   0.0  -1.0   0.0  0.5  0.5  0.5  ADD  1.856420e-08
3226   0.0  -1.0   0.0  0.5  0.5  0.5  ADD  1.856475e-08
2129   0.0  -1.0  -1.0  0.1  0.1  0.1  ADD  1.861008e-08
2001  -1.0  -1.0   1.0  0.1  0.1  0.1  ADD  1.861841e-08
2646   1.0  -1.0  -1.0  0.5  0.5  0.5  ADD  1.878306e-08
4079  -1.0  -1.0   0.0  0.5  0.5  0.5  ADD  1.879099e-08
1513   0.0  -1.0   0.0  0.5  0.5  0.5  ADD  1.879118e-08
1752   0.0  -1.0   0.0  0.1  0.1  0.1  ADD  1.879600e-08
73     0.0  -1.0   0.0  0.1  0.1  0.1  ADD  1.881259e-08
930    0.0   0.0   1.0  0.1  0.1  0.1  ADD  1.881279e-08
810   -1.0  -1.0  -1.0  0.1  0.1  0.1  ADD  1.881898e-08
2504  -1.0   0.0   1.0  0.1  0.1  0.1  ADD  1.882906e-08
3835  -1.0  -1.0   1.0  0.5  0.5  0.5  ADD  1.887206e-08
1679  -1.0   0.0   1.0  0.1  0.1  0.1  ADD  1.887731e-08
1064   0.0   0.0   1.0  0.1  0.1  0.1  ADD  1.891701e-08
2634  -1.0   0.0   0.0  0.1  0.1  0.1  ADD  1.895405e-08
3076   0.0  -1.0  -1.0  0.5  0.5  0.5  ADD  1.896772e-08
1921   0.0  -1.0   0.0  0.1  0.1  0.1  ADD  1.901342e-08
1417  -1.0  -1.0   0.0  0.5  0.5  0.5  ADD  1.901590e-08
3234  -1.0  -1.0   0.0  0.1  0.1  0.1  ADD  1.902071e-08
1616  -1.0  -1.0   0.0  0.1  0.1  0.1  ADD  1.902523e-08
