,epoch,steps,name,nalu,dist,param,extp,seed,op,trainloss,loss,reinits,exp
638,99,64000,nalu_minimal_arith,nalu__paperm,exponential,0.8,0.5,108,sub,5.23912E-01,4.86353E-01,4,ext
639,99,64000,nalu_minimal_arith,nalu__paperm,normal,"(-3, 3)","(8, 10)",100,mul,1.18151E+00,5.54878E+03,8,ext
640,99,64000,nalu_minimal_arith,nalu__paperm,normal,"(-4, 2)","(8, 10)",102,div,9.51072E+00,4.76946E-01,9,ext
641,99,64000,nalu_minimal_arith,nalu__paperm,normal,"(-3, 3)","(8, 10)",107,sub,6.57328E-01,4.90944E+01,0,ext
642,99,64000,nalu_minimal_arith,nalui2,uniform,"(-1, 1)","(-10, -5)",103,sub,1.39274E-15,8.64588E-14,0,ext
643,99,64000,nalu_minimal_arith,nalui2,normal,"(-3, 3)","(8, 10)",108,sub,5.88375E-15,1.51087E-13,0,ext
644,99,64000,nalu_minimal_arith,nalui2,exponential,0.2,0.5,102,div,3.92458E+02,7.50038E+04,9,ext
645,99,64000,nalu_minimal_arith,nalui2,exponential,0.8,0.5,103,add,5.32907E-15,2.48012E-15,0,ext
646,99,64000,nalu_minimal_arith,nalu__paperv,normal,"(-4, 2)","(8, 10)",106,mul,7.84112E-01,3.98284E+03,0,ext
647,99,64000,nalu_minimal_arith,nalui1,exponential,0.8,0.5,106,div,3.34061E-13,6.28633E-09,1,ext
648,99,64000,nalu_minimal_arith,nalu__paperm,exponential,0.2,0.5,103,sub,5.18676E-02,4.99009E-01,0,ext
649,99,64000,nalu_minimal_arith,nalu__paperv,uniform,"(-5, 5)","(-10, -5)",100,mul,7.13558E+01,2.45662E+03,9,ext
650,99,64000,nalu_minimal_arith,nalu__paperv,normal,"(-3, 3)","(8, 10)",105,sub,5.17403E-01,4.65641E+01,0,ext
651,99,64000,nalu_minimal_arith,nalui2,uniform,"(-5, 5)","(-10, -5)",109,mul,6.62262E-13,1.03748E-10,0,ext
652,99,64000,nalu_minimal_arith,nalu__paperv,exponential,0.2,0.5,101,sub,5.50391E-02,4.95315E-01,0,ext
653,99,64000,nalu_minimal_arith,nalui2,normal,"(-3, 3)","(8, 10)",103,sub,3.51439E-15,1.50276E-13,0,ext
654,99,64000,nalu_minimal_arith,nalu__paperm,uniform,"(-5, 5)","(-10, -5)",105,sub,4.19864E+00,2.37178E+00,5,ext
655,99,64000,nalu_minimal_arith,nalui2,normal,"(-3, 3)","(8, 10)",109,add,4.63827E-15,9.14667E-13,0,ext
656,99,64000,nalu_minimal_arith,nalui2,normal,"(-4, 2)","(8, 10)",108,div,2.93391E+01,5.97239E+01,9,ext
657,99,64000,nalu_minimal_arith,nalui1,exponential,0.8,0.5,103,sub,1.61394E-15,1.29549E-15,0,ext
658,99,64000,nalu_minimal_arith,nalu__paperv,exponential,0.8,0.5,108,div,3.43610E-05,1.55705E+03,4,ext
659,99,64000,nalu_minimal_arith,nalu__paperm,normal,"(-4, 2)","(8, 10)",108,mul,9.44561E-01,3.98619E+03,0,ext
660,99,64000,nalu_minimal_arith,nalui1,uniform,"(-1, 1)","(-10, -5)",101,mul,1.50378E-01,3.41342E+03,0,ext
661,99,64000,nalu_minimal_arith,nalui2,normal,"(-3, 3)","(8, 10)",100,div,7.58985E+01,4.31811E+00,9,ext
662,99,64000,nalu_minimal_arith,nalu__paperm,exponential,0.8,0.5,105,mul,1.10604E-06,8.25714E-07,0,ext
663,99,64000,nalu_minimal_arith,nalui1,exponential,0.2,0.5,106,add,6.13121E-02,4.21030E-01,0,ext
664,99,64000,nalu_minimal_arith,nalu__paperm,normal,"(-3, 3)","(8, 10)",106,div,1.00393E+01,6.84861E+01,9,ext
665,99,64000,nalu_minimal_arith,nalu__paperm,normal,"(-2, 4)","(8, 10)",101,sub,9.37532E-01,1.12150E-01,1,ext
666,99,64000,nalu_minimal_arith,nalui1,uniform,"(-5, 5)","(-10, -5)",101,add,1.86448E-14,4.08605E-13,0,ext
667,99,64000,nalu_minimal_arith,nalui2,uniform,"(-1, 1)","(-10, -5)",109,mul,3.07497E-16,1.03748E-10,0,ext
