,epoch,steps,name,nalu,dist,param,extp,seed,op,trainloss,loss,reinits,exp
174,99,64000,nalu_simple_func,nalui2,uniform,"(-3, 3)","(-5, -3)",102,sub,1.21908E-12,1.66121E-12,0,int
175,99,64000,nalu_simple_func,nalu__paperv,uniform,"(-3, 3)","(-5, -3)",103,sub,2.01113E+02,2.88184E+02,7,int
176,99,64000,nalu_simple_func,nalu__paperm,uniform,"(-3, 3)","(-5, -3)",101,mul,1.67192E+04,3.29385E+04,8,int
177,99,64000,nalu_simple_func,nalu__paperv,normal,"(-3, 3)","(3, 4)",101,div,7.09466E+01,3.45246E+05,4,int
178,99,64000,nalu_simple_func,nalui2,uniform,"(-3, 3)","(-5, -3)",108,add,2.95769E-05,4.27446E-03,0,int
179,99,64000,nalu_simple_func,nalui2,normal,"(-3, 3)","(3, 4)",104,mul,2.43506E-11,4.16845E-11,0,int
180,99,64000,nalu_simple_func,nalu__paperv,normal,"(-3, 3)","(3, 4)",103,add,1.58008E+00,2.12901E+00,1,int
181,99,64000,nalu_simple_func,nalu__paperv,normal,"(-3, 3)","(3, 4)",102,add,1.78168E+01,2.43327E+01,1,int
182,99,64000,nalu_simple_func,nalui1,normal,"(-3, 3)","(3, 4)",103,div,1.40635E+02,3.28439E+05,9,int
183,99,64000,nalu_simple_func,nalu__paperv,uniform,"(-3, 3)","(-5, -3)",101,mul,8.28621E+03,5.02008E+06,5,int
184,99,64000,nalu_simple_func,nalu__paperv,uniform,"(-3, 3)","(-5, -3)",101,sub,1.97858E+02,2.22244E+02,9,int
185,99,64000,nalu_simple_func,nalu__paperm,uniform,"(-3, 3)","(-5, -3)",109,sub,1.88770E+02,2.72777E+02,8,int
186,99,64000,nalu_simple_func,nalui1,normal,"(-3, 3)","(3, 4)",106,div,7.92963E+03,1.46687E+05,9,int
187,99,64000,nalu_simple_func,nalui1,uniform,"(-3, 3)","(-5, -3)",103,mul,1.25142E-09,6.60470E-10,0,int
188,99,64000,nalu_simple_func,nalui1,normal,"(-3, 3)","(3, 4)",101,sub,1.38165E-04,1.60830E-04,1,int
189,99,64000,nalu_simple_func,nalui2,normal,"(-3, 3)","(3, 4)",102,sub,3.82024E-13,4.71647E-13,0,int
190,99,64000,nalu_simple_func,nalui1,uniform,"(-3, 3)","(-5, -3)",106,mul,2.63888E-10,5.84399E-10,0,int
191,99,64000,nalu_simple_func,nalu__paperv,uniform,"(-3, 3)","(-5, -3)",107,div,4.42063E+02,1.62467E+05,1,int
192,99,64000,nalu_simple_func,nalui1,uniform,"(-3, 3)","(-5, -3)",104,div,2.02490E+01,4.78632E+04,9,int
193,99,64000,nalu_simple_func,nalui1,normal,"(-3, 3)","(3, 4)",105,add,4.96815E-13,5.39342E-13,0,int
194,99,64000,nalu_simple_func,nalu__paperm,normal,"(-3, 3)","(3, 4)",104,sub,3.71082E+01,3.70727E+01,5,int
195,99,64000,nalu_simple_func,nalui2,normal,"(-3, 3)","(3, 4)",107,add,7.15096E-13,5.05034E-13,0,int
